source,target,weight
AVAL,AVJR,0.003378
AVAL,LUAR,0.013514
AVAL,PHCL,0.003378
AVAL,PVNL,0.006757
AVAL,DA08,0.023649
AVAL,DB05,0.006757
AVAL,SABVL,0.003378
AVAL,DB07,0.003378
AVAL,VB11,0.006757
AVAL,PHCR,0.010135
AVAL,RIAL,0.006757
AVAL,DA09,0.010135
AVAR,AVDR,0.035211
AVAR,ASHR,0.007042
AVAR,AVDL,0.007042
AVAR,ADER,0.003521
AVAR,RIMR,0.003521
AVAR,PVT,0.007042
AVAR,RIGL,0.003521
AVAR,RIML,0.007042
